Place,Year,Population,Category,SubCategory,Amount,PerCapita,avgPerCapita
Albacete,2022,385727,COLLECTIVE SAFETY,Road Safety,328,0.000850342,0.001297128
Albacete,2022,385727,COLLECTIVE SAFETY,Drug Trafficking,85,0.000220363,0.001297128
Albacete,2022,385727,COLLECTIVE SAFETY,Others (Collective),40,0.0001037,0.001297128
Albacete,2021,386464,COLLECTIVE SAFETY,Road Safety,333,0.000861659,0.001297128
Albacete,2021,386464,COLLECTIVE SAFETY,Drug Trafficking,77,0.000199242,0.001297128
Albacete,2021,386464,COLLECTIVE SAFETY,Others (Collective),31,8.021445723275647e-05,0.001297128
Albacete,2020,388270,COLLECTIVE SAFETY,Road Safety,255,0.000656759,0.001297128
Albacete,2020,388270,COLLECTIVE SAFETY,Drug Trafficking,62,0.000159683,0.001297128
Albacete,2020,388270,COLLECTIVE SAFETY,Others (Collective),27,6.953923815901306e-05,0.001297128
Albacete,2019,388167,COLLECTIVE SAFETY,Road Safety,361,0.000930012,0.001297128
Albacete,2019,388167,COLLECTIVE SAFETY,Drug Trafficking,72,0.000185487,0.001297128
Albacete,2019,388167,COLLECTIVE SAFETY,Others (Collective),36,9.274358716737898e-05,0.001297128
Albacete,2018,388786,COLLECTIVE SAFETY,Road Safety,339,0.000871945,0.001297128
Albacete,2018,388786,COLLECTIVE SAFETY,Drug Trafficking,77,0.000198052,0.001297128
Albacete,2018,388786,COLLECTIVE SAFETY,Others (Collective),32,8.230749049605696e-05,0.001297128
Albacete,2017,390032,COLLECTIVE SAFETY,Road Safety,332,0.000851212,0.001297128
Albacete,2017,390032,COLLECTIVE SAFETY,Drug Trafficking,80,0.000205111,0.001297128
Albacete,2017,390032,COLLECTIVE SAFETY,Others (Collective),42,0.000107683,0.001297128
Albacete,2016,392118,COLLECTIVE SAFETY,Road Safety,321,0.000818631,0.001297128
Albacete,2016,392118,COLLECTIVE SAFETY,Drug Trafficking,74,0.000188719,0.001297128
Albacete,2016,392118,COLLECTIVE SAFETY,Others (Collective),30,7.650758190136643e-05,0.001297128
Albacete,2015,394580,COLLECTIVE SAFETY,Road Safety,279,0.000707081,0.001297128
Albacete,2015,394580,COLLECTIVE SAFETY,Drug Trafficking,85,0.000215419,0.001297128
Albacete,2015,394580,COLLECTIVE SAFETY,Others (Collective),28,7.096152871407572e-05,0.001297128
Albacete,2014,396987,COLLECTIVE SAFETY,Road Safety,363,0.000914388,0.001297128
Albacete,2014,396987,COLLECTIVE SAFETY,Drug Trafficking,106,0.000267011,0.001297128
Albacete,2014,396987,COLLECTIVE SAFETY,Others (Collective),36,9.068307022648097e-05,0.001297128
Albacete,2013,400007,COLLECTIVE SAFETY,Road Safety,413,0.001032482,0.001297128
Albacete,2013,400007,COLLECTIVE SAFETY,Drug Trafficking,98,0.000244996,0.001297128
Albacete,2013,400007,COLLECTIVE SAFETY,Others (Collective),36,8.999842502756202e-05,0.001297128
Albacete,2012,402837,COLLECTIVE SAFETY,Road Safety,404,0.001002887,0.001297128
Albacete,2012,402837,COLLECTIVE SAFETY,Drug Trafficking,118,0.000292922,0.001297128
Albacete,2012,402837,COLLECTIVE SAFETY,Others (Collective),11,2.7306329855499867e-05,0.001297128
Albacete,2011,402318,COLLECTIVE SAFETY,Road Safety,531,0.001319851,0.001297128
Albacete,2011,402318,COLLECTIVE SAFETY,Drug Trafficking,128,0.000318156,0.001297128
Albacete,2011,402318,COLLECTIVE SAFETY,Others (Collective),17,4.225513151288285e-05,0.001297128
Albacete,2010,401682,COLLECTIVE SAFETY,Road Safety,429,0.001068009,0.001297128
Albacete,2010,401682,COLLECTIVE SAFETY,Drug Trafficking,157,0.000390856,0.001297128
Albacete,2010,401682,COLLECTIVE SAFETY,Others (Collective),33,8.215454015863295e-05,0.001297128
Alicante,2022,1901594,COLLECTIVE SAFETY,Road Safety,2524,0.001327308,0.001983196
Alicante,2022,1901594,COLLECTIVE SAFETY,Drug Trafficking,963,0.000506417,0.001983196
Alicante,2022,1901594,COLLECTIVE SAFETY,Others (Collective),67,3.523359875977732e-05,0.001983196
Alicante,2021,1881762,COLLECTIVE SAFETY,Road Safety,2115,0.001123947,0.001983196
Alicante,2021,1881762,COLLECTIVE SAFETY,Drug Trafficking,935,0.000496875,0.001983196
Alicante,2021,1881762,COLLECTIVE SAFETY,Others (Collective),65,3.454209405865354e-05,0.001983196
