Place,Category,SubCategory,Year,Amount
Albacete,COLLECTIVE SAFETY,Road Safety,2021,333
Albacete,COLLECTIVE SAFETY,Road Safety,2022,328
Albacete,COLLECTIVE SAFETY,Road Safety,2020,255
Albacete,COLLECTIVE SAFETY,Road Safety,2019,361
Albacete,COLLECTIVE SAFETY,Road Safety,2018,339
Albacete,COLLECTIVE SAFETY,Road Safety,2017,332
Albacete,COLLECTIVE SAFETY,Road Safety,2016,321
Albacete,COLLECTIVE SAFETY,Road Safety,2015,279
Albacete,COLLECTIVE SAFETY,Road Safety,2014,363
Albacete,COLLECTIVE SAFETY,Road Safety,2013,413
Albacete,COLLECTIVE SAFETY,Road Safety,2012,404
Albacete,COLLECTIVE SAFETY,Road Safety,2011,531
Albacete,COLLECTIVE SAFETY,Road Safety,2010,429
Alicante,COLLECTIVE SAFETY,Road Safety,2021,2115
Alicante,COLLECTIVE SAFETY,Road Safety,2022,2524
Alicante,COLLECTIVE SAFETY,Road Safety,2020,1603
Alicante,COLLECTIVE SAFETY,Road Safety,2019,1871
Alicante,COLLECTIVE SAFETY,Road Safety,2018,2120
Alicante,COLLECTIVE SAFETY,Road Safety,2017,1877
Alicante,COLLECTIVE SAFETY,Road Safety,2016,1939
Alicante,COLLECTIVE SAFETY,Road Safety,2015,1839
Alicante,COLLECTIVE SAFETY,Road Safety,2014,2398
Alicante,COLLECTIVE SAFETY,Road Safety,2013,2448
Alicante,COLLECTIVE SAFETY,Road Safety,2012,2463
Alicante,COLLECTIVE SAFETY,Road Safety,2011,2432
Alicante,COLLECTIVE SAFETY,Road Safety,2010,2019
Almería,COLLECTIVE SAFETY,Road Safety,2021,1419
Almería,COLLECTIVE SAFETY,Road Safety,2022,1518
Almería,COLLECTIVE SAFETY,Road Safety,2020,1176
Almería,COLLECTIVE SAFETY,Road Safety,2019,1351
Almería,COLLECTIVE SAFETY,Road Safety,2018,1188
Almería,COLLECTIVE SAFETY,Road Safety,2017,984
Almería,COLLECTIVE SAFETY,Road Safety,2016,935
Almería,COLLECTIVE SAFETY,Road Safety,2015,1069
Almería,COLLECTIVE SAFETY,Road Safety,2014,1089
Almería,COLLECTIVE SAFETY,Road Safety,2013,1121
Almería,COLLECTIVE SAFETY,Road Safety,2012,1219
